"作者","Author full names","作者 ID","文献标题","年份","来源出版物名称","卷","期","论文编号","起始页码","结束页码","页码计数","施引文献","DOI","链接","归属机构","带归属机构的作者","摘要","作者关键字","索引关键字","文献类型","出版阶段","开放获取","来源出版物"
"Saeed U.; Jan S.U.; Lee Y.-D.; Koo I.","Saeed, Umer (57216954757); Jan, Sana Ullah (56740235200); Lee, Young-Doo (36499870800); Koo, Insoo (56265003800)","57216954757; 56740235200; 36499870800; 56265003800","Fault diagnosis based on extremely randomized trees in wireless sensor networks","2021","Reliability Engineering and System Safety","205","","107284","","","","102","10.1016/j.ress.2020.107284","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85093669788&doi=10.1016%2fj.ress.2020.107284&partnerID=40&md5=3141890d8bf9ed725aff66beff9c282e","School of Electrical Engineering, University of Ulsan, 93 Daehak-ro, Nam-gu, Ulsan, 44610, South Korea","Saeed U., School of Electrical Engineering, University of Ulsan, 93 Daehak-ro, Nam-gu, Ulsan, 44610, South Korea; Jan S.U., School of Electrical Engineering, University of Ulsan, 93 Daehak-ro, Nam-gu, Ulsan, 44610, South Korea; Lee Y.-D., School of Electrical Engineering, University of Ulsan, 93 Daehak-ro, Nam-gu, Ulsan, 44610, South Korea; Koo I., School of Electrical Engineering, University of Ulsan, 93 Daehak-ro, Nam-gu, Ulsan, 44610, South Korea","Wireless Sensor Network (WSN) being highly diversified cyber–physical system makes it vulnerable to numerous failures, which can cause devastation towards safety, economy, and systems’ reliability. Precise detection and diagnosis of failures or faults in WSN is a challenging issue due to the diversity of deployment and the limitations in the sensors’ resources. In this paper, supervised machine learning-based technique is considered to scrutinize the behavior of sensors through their data for the detection and diagnosis of faults. Most of the faults that commonly occur in WSN are considered: hardover, drift, spike, erratic, data-loss, stuck, and random fault. A trusted dataset published online by the researchers at the University of North Carolina composed of temperature and humidity sensor measurements of multi-hop scenario was acquired and the aforementioned faults were simulated in non-faulty (normal) data. Events from fault occurrences were generated to replicate realistic scenarios of WSN. To detect and diagnose the faults in timely manner, we adopt an ensemble learning-based lightweight technique called Extremely Randomized Trees or Extra-Trees. The proposed Extra-Trees-based detection scheme has the ability of robustness towards signal noise and strong reduction of bias and variance error. The performances of the proposed scheme were compared with those of the state-of-the-art machine learning algorithms such as support vector machine, random forest, neural network, and decision tree. Performance evaluation shows the efficiency of the proposed scheme in terms of accuracy, precision, and F1-score. In addition, the proposed scheme has low training time compared to state-of-the-art approaches. © 2020 Elsevier Ltd","Classification; Extremely Randomized Trees; Fault diagnosis; Machine learning; Wireless Sensor Networks","Decision trees; Learning algorithms; Learning systems; Support vector machines; Wireless sensor networks; Bias and variance; Detection and diagnosis; Ensemble learning; Realistic scenario; State-of-the-art approach; Supervised machine learning; Temperature and humidity sensor; University of North Carolina; Fault detection","Article","Final","","Scopus"
"Zhang W.; Biswas G.; Zhao Q.; Zhao H.; Feng W.","Zhang, Wenfeng (56123384000); Biswas, Gautam (57211726890); Zhao, Qi (55743332100); Zhao, Hongbo (55715872500); Feng, Wenquan (9232780500)","56123384000; 57211726890; 55743332100; 55715872500; 9232780500","Knowledge distilling based model compression and feature learning in fault diagnosis","2020","Applied Soft Computing Journal","88","","105958","","","","27","10.1016/j.asoc.2019.105958","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076531307&doi=10.1016%2fj.asoc.2019.105958&partnerID=40&md5=d7ca93cb79087f861b5d90fd240f1438","School of Electronic and Information Engineering, Beihang University, China; Institute for Software Integrated Systems, Department of Electrical Engineering and Computer Science, Vanderbilt University, United States","Zhang W., School of Electronic and Information Engineering, Beihang University, China; Biswas G., Institute for Software Integrated Systems, Department of Electrical Engineering and Computer Science, Vanderbilt University, United States; Zhao Q., School of Electronic and Information Engineering, Beihang University, China; Zhao H., School of Electronic and Information Engineering, Beihang University, China; Feng W., School of Electronic and Information Engineering, Beihang University, China","Recently, there has been interest in developing diagnosis methods that combine model-based and data-driven diagnosis. In both approaches, selecting the relevant measurements or extracting important features from historical data is a key determiner of the success of the algorithm. Recently, deep learning methods have been effective in automating the feature selection process. Autoencoders have been shown to be an effective neural network configuration for extracting features from complex data, however, they may also learn irrelevant features. In addition, end-to-end classification neural networks have also been used for diagnosis, but like autoencoders, this method may also learn unimportant features thus making the diagnostic inference scheme inefficient. To rapidly extract significant fault features, this paper employs end-to-end networks and develops a new feature extraction method based on importance analysis and knowledge distilling. First, a set of cumbersome neural network models are trained to predict faults and some of their internal values are defined as features. Then an occlusion-based importance analysis method is developed to select the most relevant input variables and learned features. Finally, a simple student neural network model is designed based on the previous analysis results and an improved knowledge distilling method is proposed to train the student model. Because of the way the cumbersome networks are trained, only fault features are learned, with the importance analysis further pruning the relevant feature set. These features can be rapidly generated by the student model. We discuss the algorithms, and then apply our method to two typical dynamic systems, a communication system and a 10-tank system employed to demonstrate the proposed approach. © 2019 Elsevier B.V.","Fault diagnosis; Feature learning; Knowledge distilling; Neural networks","Computer aided diagnosis; Data mining; Deep learning; Failure analysis; Fault detection; Machine learning; Neural networks; Students; Diagnostic inferences; Extracting features; Feature extraction methods; Feature learning; Importance analysis; Knowledge distilling; Neural network configurations; Neural network model; Feature extraction","Article","Final","","Scopus"
"Zhang P.; Wen G.; Dong S.; Lin H.; Huang X.; Tian X.; Chen X.","Zhang, Ping (56729424300); Wen, Guangrui (7102510679); Dong, Shuzhi (57200151393); Lin, Hailong (57224011812); Huang, Xin (57193628906); Tian, Xiaojun (57224002570); Chen, Xuefeng (57205480544)","56729424300; 7102510679; 57200151393; 57224011812; 57193628906; 57224002570; 57205480544","A Novel Multiscale Lightweight Fault Diagnosis Model Based on the Idea of Adversarial Learning","2021","IEEE Transactions on Instrumentation and Measurement","70","","9433650","","","","15","10.1109/TIM.2021.3076841","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106728048&doi=10.1109%2fTIM.2021.3076841&partnerID=40&md5=a0d7e4b7dc69bf3eeaa47d5eae589924","School of Mechanical Engineering, Xi'an Jiaotong University, Xi'an, 710049, China; Sdic Biotechnology Investment Company Ltd., Beijing, 100034, China; Key Laboratory of Education Ministry for Modern Design & Rotor-Bearing System, Xi an, 710049, China","Zhang P., School of Mechanical Engineering, Xi'an Jiaotong University, Xi'an, 710049, China; Wen G., School of Mechanical Engineering, Xi'an Jiaotong University, Xi'an, 710049, China, Key Laboratory of Education Ministry for Modern Design & Rotor-Bearing System, Xi an, 710049, China; Dong S., School of Mechanical Engineering, Xi'an Jiaotong University, Xi'an, 710049, China; Lin H., Sdic Biotechnology Investment Company Ltd., Beijing, 100034, China; Huang X., School of Mechanical Engineering, Xi'an Jiaotong University, Xi'an, 710049, China; Tian X., Sdic Biotechnology Investment Company Ltd., Beijing, 100034, China; Chen X., School of Mechanical Engineering, Xi'an Jiaotong University, Xi'an, 710049, China","Big-data fault diagnosis methods based on deep learning (DL) have been widely studied in recent years. However, the number of labeled bearing fault samples is limited in industrial practice, and these samples usually are contained with complex environmental noise. Therefore, it is necessary to develop a generalizable DL model with strong feature learning ability. To tackle the above challenges, this article proposes a multiscale lightweight fault diagnosis model based on the idea of adversarial learning. The multiscale feature extraction unit is applied to the vibration signal for learning complementary and abundant fault information at different time scales, increasing the width and reducing the depth of the network. Meanwhile, a novel easy-to-train module based on the idea of adversarial learning is utilized to strengthen the feature learning ability by competitive optimization. Besides, the depthwise separable convolution is introduced to reduce the size of the network and achieve the lightweight design. These measures strengthen the feature learning ability and generalization of proposed method, and further ensure its noise robustness in the case of limited samples. The effectiveness of the proposed method has been verified on two bearing datasets, and experimental results show that the proposed method is robust to noise in the case of limited samples.  © 1963-2012 IEEE.","Adversarial learning; attention mechanism; convolutional neural network (CNN); fault diagnosis","Deep learning; Failure analysis; Fault detection; Adversarial learning; Different time scale; Environmental noise; Fault diagnosis model; Industrial practices; Lightweight design; Multi-scale features; Vibration signal; Learning systems","Article","Final","","Scopus"
"Du J.; Liu Z.-G.; Song K.-P.; Yang E.-L.","Du, Juan (55522225000); Liu, Zhi-Gang (57191689757); Song, Kao-Ping (7401740456); Yang, Er-Long (7202021141)","55522225000; 57191689757; 7401740456; 7202021141","Fault Diagnosis of Pumping Unit Based on Convolutional Neural Network; [基于卷积神经网络的抽油机故障诊断]","2020","Dianzi Keji Daxue Xuebao/Journal of the University of Electronic Science and Technology of China","49","5","","751","757","6","14","10.12178/1001-0548.2019205","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092937593&doi=10.12178%2f1001-0548.2019205&partnerID=40&md5=5478ff752afdd0e0885f20346627ee47","School of Computer and Information Technology, Northeast Petroleum University, Daqing, 163318, Heilongjiang, China; Post-Doctoral Research Center of Oil and Gas Engineering, Northeast Petroleum University, Daqing, 163318, Heilongjiang, China; Unconventional Oil and Gas Research Center, China University of Petroleum, Changping, Beijing, 102249, China","Du J., School of Computer and Information Technology, Northeast Petroleum University, Daqing, 163318, Heilongjiang, China; Liu Z.-G., School of Computer and Information Technology, Northeast Petroleum University, Daqing, 163318, Heilongjiang, China, Post-Doctoral Research Center of Oil and Gas Engineering, Northeast Petroleum University, Daqing, 163318, Heilongjiang, China; Song K.-P., Post-Doctoral Research Center of Oil and Gas Engineering, Northeast Petroleum University, Daqing, 163318, Heilongjiang, China, Unconventional Oil and Gas Research Center, China University of Petroleum, Changping, Beijing, 102249, China; Yang E.-L., Post-Doctoral Research Center of Oil and Gas Engineering, Northeast Petroleum University, Daqing, 163318, Heilongjiang, China","To improve the fault diagnosis accuracy of pumping unit and reduce the storage memory of diagnosis model, a novel fault diagnosis method based on a lightweight attention convolutional neural network is designed to recognize the dynamometer card in this paper. The shape outline composed by the displacement and load of dynamometer card is transformed into the image. Regarding the model architecture, we leverage the depthwise separable convolution and propose a regularization attention module which can be embedded to the consecutive convolution layers. Each channel of the depthwise separable convolution layer is compressed and filtered by the mechanism provided by the model. It constructs the attention feature map, in which the feature is suppressed or enhanced. Regarding the model training, the attention-based loss function is presented to suppress the contribution of easy samples to the training loss. It makes the training to pay more attention to hard samples than easy ones. Finally, the proposed method is evaluated by the experiment. The experimental results show that the size of the model is only 5.4 Mb, while the diagnosis accuracy is 95.1%, which meet the requirements of fault diagnosis of the pumping unit. © 2020, Editorial Board of Journal of the University of Electronic Science and Technology of China. All right reserved.","Convolutional neural network; Fault diagnosis; Loss function; Pumping unit; Regularization attention","Convolution; Convolutional neural networks; Dynamometers; Failure analysis; Pumping plants; Pumps; Diagnosis model; Dynamometer card; Fault diagnosis method; Feature map; Loss functions; Model architecture; Model training; Pumping unit; Fault detection","Article","Final","","Scopus"
"","","","2020 IEEE International Test Conference India, ITC India 2020","2020","2020 IEEE International Test Conference India, ITC India 2020","","","","","","115","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092176058&partnerID=40&md5=1fb8fbfec253263f8d073519b6521044","","","The proceedings contain 15 papers. The topics discussed include: machine learning driven throughput optimization of volume diagnosis methodology; resource optimal realization of fault-tolerant quantum circuit; analyzing fault tolerance behavior in memristor-based crossbar for neuromorphic applications; built-in self-repair for manufacturing and runtime TSV defects in 3D ICs; validating and characterizing a 2.5D high bandwidth memory subsystem; an efficient hardware Trojan detection approach adopting testability based features; concealing test compression mechanisms from security attacks; machine learning based temperature estimation for test scheduling of 3D ICs; fault vulnerability ranking of transistors in analog integrated circuits using AC analysis; and a hash based secure scheme (HSS) against scan-based attacks on AES cipher.","","","Conference review","Final","","Scopus"
"Vidal-Puig S.; Vitale R.; Ferrer A.","Vidal-Puig, Santiago (25655470300); Vitale, Raffaele (56074940500); Ferrer, Alberto (56345610300)","25655470300; 56074940500; 56345610300","Data-driven supervised fault diagnosis methods based on latent variable models: a comparative study","2019","Chemometrics and Intelligent Laboratory Systems","187","","","41","52","11","14","10.1016/j.chemolab.2019.02.006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062708804&doi=10.1016%2fj.chemolab.2019.02.006&partnerID=40&md5=110af29da2a07da085e1252024bdf12c","Grupo de Ingeniería Estadística Multivariante, Departamento de Estadística e Investigación Operativa Aplicadas y Calidad, Universitat Politècnica de València, Camino de Vera s/n, Valencia, 46022, Spain; Molecular Imaging and Photonics Unit, Department of Chemistry, Katholieke Universiteit Leuven, Celestijnenlaan 200F, Leuven, B-3001, Belgium; Laboratoire de Spectrochimie Infrarouge et Raman - UMR 8516, Université de Lille - Sciences et Technologies, Bâtiment C5, Villeneuve d'Ascq, 59655, France","Vidal-Puig S., Grupo de Ingeniería Estadística Multivariante, Departamento de Estadística e Investigación Operativa Aplicadas y Calidad, Universitat Politècnica de València, Camino de Vera s/n, Valencia, 46022, Spain; Vitale R., Grupo de Ingeniería Estadística Multivariante, Departamento de Estadística e Investigación Operativa Aplicadas y Calidad, Universitat Politècnica de València, Camino de Vera s/n, Valencia, 46022, Spain, Molecular Imaging and Photonics Unit, Department of Chemistry, Katholieke Universiteit Leuven, Celestijnenlaan 200F, Leuven, B-3001, Belgium, Laboratoire de Spectrochimie Infrarouge et Raman - UMR 8516, Université de Lille - Sciences et Technologies, Bâtiment C5, Villeneuve d'Ascq, 59655, France; Ferrer A., Grupo de Ingeniería Estadística Multivariante, Departamento de Estadística e Investigación Operativa Aplicadas y Calidad, Universitat Politècnica de València, Camino de Vera s/n, Valencia, 46022, Spain","                             A comparison among widely used multivariate latent variable-based techniques for supervised process fault diagnosis was carried out. In order to assess their overall performance several diagnosis criteria were proposed (C                             1                             : most suspected fault assignment; C                             2                             : threshold-based fault assignment). Additionally, it was evaluated i) how the size of the training set used to build the latent variable models affected the diagnosis ability of the methods under study, ii) how they behaved under new types of failures not included in the original list of fault candidates and iii) which of them were more suitable for either early or late diagnosis. To accomplish all these objectives, the approaches were tested in different scenarios. Two datasets were analysed: the first was generated by a Simulink-based model of a binary distillation column, while the second relates to a pasteurisation process performed in a laboratory-scale plant.                          © 2019 Elsevier B.V.","fault reconstruction; fault signature; Partial Least Squares Discriminant Analysis (PLS-DA); sensitivity; specificity; supervised process fault diagnosis","article; comparative study; controlled study; discriminant analysis; distillation; partial least squares regression; pasteurization","Article","Final","All Open Access; Bronze Open Access; Green Open Access","Scopus"
"Wang Y.; Yan J.; Liu T.","Wang, Yanxin (57212538772); Yan, Jing (57206970623); Liu, Tingliang (57212530852)","57212538772; 57206970623; 57212530852","Comprehensive Intelligent Diagnosis for Mechanical and Insulation Faults of Power Equipment in the Power Internet of Things Con","2020","7th IEEE International Conference on High Voltage Engineering and Application, ICHVE 2020 - Proceedings","","","9280092","","","","1","10.1109/ICHVE49031.2020.9280092","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099399454&doi=10.1109%2fICHVE49031.2020.9280092&partnerID=40&md5=b21a82ec93be3bf75232063a3d82e09a","State Key Laboratory of Electrical Insulation and Power Equipment, Xi'an Jiaotong University, Xi'an, China","Wang Y., State Key Laboratory of Electrical Insulation and Power Equipment, Xi'an Jiaotong University, Xi'an, China; Yan J., State Key Laboratory of Electrical Insulation and Power Equipment, Xi'an Jiaotong University, Xi'an, China; Liu T., State Key Laboratory of Electrical Insulation and Power Equipment, Xi'an Jiaotong University, Xi'an, China","During the construction of the power Internet of Things, the data of the entire process of equipment operation will be monitored and retained. Therefore, the representative and comprehensive problem of the fault sample is solved. In this way, artificial intelligence technology can be used to carry out in-depth mining in order to digitally and intelligently diagnose power equipment failures. To this end, this paper proposes an efficient lightweight convolutional neural network for comprehensive intelligent diagnosis of mechanical and insulation faults in power equipment. This paper first introduces the process of comprehensive intelligent fault diagnosis under the power Internet of Things. Then a lightweight convolutional neural network (LCNN) for comprehensive intelligent fault diagnosis was constructed. Next, this paper validates the method on the GIS partial discharge data set and the mechanical fault data set. Compared with the traditional method, the accuracy of the method proposed in this paper is 99.91% on the mechanical dataset, and 94.52% on the insulation dataset, which has a significant improvement. Moreover, the model is one-tenth of the traditional model in terms of parameter quantity and storage space, which is conducive to real-time and fast processing of signals under the power Internet of Things. © 2020 IEEE.","comprehensive intelligent fault diagnosis; efficient lightweight convolutional neural network; mechanical and insulation faults; partial discharge","Construction equipment; Convolution; Convolutional neural networks; Digital storage; Failure analysis; Insulation; Internet of things; Partial discharges; Artificial intelligence technologies; Fast Processing; Insulation fault; Intelligent diagnosis; Intelligent fault diagnosis; Mechanical faults; Power equipment; Traditional models; Fault detection","Conference paper","Final","","Scopus"
"Pestana-Viana D.; Gutiérrez R.H.R.; de Lima A.A.; e Silva F.L.; Vaz L.; de M. Prego T.; Monteiro U.A.","Pestana-Viana, Denys (57190736985); Gutiérrez, Ricardo H. R. (55774126800); de Lima, Amaro A. (24733621100); e Silva, Fabrício L. (57203460750); Vaz, Luiz (57190497358); de M. Prego, Thiago (54405744300); Monteiro, Ulisses A. (55773290700)","57190736985; 55774126800; 24733621100; 57203460750; 57190497358; 54405744300; 55773290700","Application of Machine Learning in Diesel Engines Fault Identification","2019","Mechanisms and Machine Science","61","","","74","89","15","1","10.1007/978-3-319-99268-6_6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051757209&doi=10.1007%2f978-3-319-99268-6_6&partnerID=40&md5=8f34386d4247dc9a423e712b7176ebe7","Federal Center of Technological Education Celso Suckow da Fonseca (CEFET-RJ), Rio de Janeiro, Brazil; Center for Research in Mechatronics (NUPEM), CEFET-RJ, Nova Iguaçu, Brazil; Federal University of Rio de Janeiro (UFRJ), Rio de Janeiro, Brazil","Pestana-Viana D., Federal Center of Technological Education Celso Suckow da Fonseca (CEFET-RJ), Rio de Janeiro, Brazil; Gutiérrez R.H.R., Federal University of Rio de Janeiro (UFRJ), Rio de Janeiro, Brazil; de Lima A.A., Federal Center of Technological Education Celso Suckow da Fonseca (CEFET-RJ), Rio de Janeiro, Brazil, Center for Research in Mechatronics (NUPEM), CEFET-RJ, Nova Iguaçu, Brazil; e Silva F.L., Center for Research in Mechatronics (NUPEM), CEFET-RJ, Nova Iguaçu, Brazil; Vaz L., Federal University of Rio de Janeiro (UFRJ), Rio de Janeiro, Brazil; de M. Prego T., Center for Research in Mechatronics (NUPEM), CEFET-RJ, Nova Iguaçu, Brazil; Monteiro U.A., Federal University of Rio de Janeiro (UFRJ), Rio de Janeiro, Brazil","The objective of this work is the fault diagnosis in diesel engines to assist the predictive maintenance, through the analysis of the variation of the pressure curves inside the cylinders and the torsional vibration response of the crankshaft. Hence a fault simulation model based on a zero-dimensional thermodynamic model was developed. The adopted feature vectors were chosen from the thermodynamic model and obtained from processing signals as pressure and temperature inside the cylinder, as well as, torsional vibration of the engines flywheel. These vectors are used as input of the machine learning technique in order to discriminate among several machine conditions, such as normal, pressure reduction in the intake manifold, compression ratio and amount of fuel injected reduction into the cylinders. The machine learning techniques for classification adopted in this work were the multilayer perceptron (MLP) and random forest (RF). © 2019, Springer Nature Switzerland AG.","Fault identification; Machine learning; Vibration analysis","Decision trees; Diesel engines; Elastic waves; Engine cylinders; Fuel purification; Learning systems; Machine learning; Machine vibrations; Multilayer neural networks; Thermodynamic properties; Fault identifications; Machine learning techniques; Multi layer perceptron; Pressure and temperature; Pressure reduction; Processing signal; Thermodynamic model; Torsional vibration; Vibration analysis","Conference paper","Final","","Scopus"
"Tanwir S.; Hsiao M.S.; Lingappan L.","Tanwir, Sarmad (56629371000); Hsiao, Michael S. (57203245562); Lingappan, Loganathan (6506265962)","56629371000; 57203245562; 6506265962","Hardware-in-the-loop model-less diagnostic test generation","2016","2016 IEEE International High Level Design Validation and Test Workshop, HLDVT 2016","","","7748266","128","135","7","2","10.1109/HLDVT.2016.7748266","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85006489431&doi=10.1109%2fHLDVT.2016.7748266&partnerID=40&md5=382ac9b6044cfe88c6d59775f392fe3a","Virginia Tech, Blacksburg, 24060, VA, United States; Intel Corporation, 1900 Prairie City Rd, Folsom, 95630, CA, United States","Tanwir S., Virginia Tech, Blacksburg, 24060, VA, United States; Hsiao M.S., Virginia Tech, Blacksburg, 24060, VA, United States; Lingappan L., Intel Corporation, 1900 Prairie City Rd, Folsom, 95630, CA, United States","Iterative scan diagnosis is often needed for both the first silicon and the hard-to-diagnose chips. The chips in question are extracted from wafers and re-tested on a debug platform to arrive at a reasonable number of probable defect candidates that can be physically analyzed. This requires a large setup time and multiple iterations of deterministic diagnostic test pattern generation and application. In every iteration, offline software tools are used to diagnose observed failures and generate the needed new patterns to prune the list of defect candidates. In this paper, we propose an online approach for generating additional diagnostic patterns for the hard-to-diagnose chips without moving them to the debug platform. We generate these patterns directly on the tester through a fault model independent hardware-in-the-loop evolutionary algorithm. This algorithm is guided by a lightweight fitness metric that is solely based on the mismatches observed by applying the newly generated patterns to a pair of circuits consisting of a known good die and the chip being diagnosed. We evaluated our technique by comparing our results against a state-of-the-art commercial diagnostic pattern generation tool. Using our generated patterns, we were able to match the diagnosis quality of the commercial tool, while incurring significantly less runtime than the commercial tool on average. Our technique also eliminates the setup and other overhead costs of offline iterative diagnosis, which amounts to additional time savings. © 2016 IEEE.","","Defects; Embedded systems; Hardware; Silicon wafers; Synthetic apertures; Diagnostic test generation; Diagnostic test pattern generations; Hard-ware-in-the-loop; Hardware in the loop modeling; Multiple iterations; Off-line softwares; Pattern Generation; State of the art; Iterative methods","Conference paper","Final","","Scopus"
"Harrou F.; Sun Y.; Madakyaru M.","Harrou, Fouzi (26433417000); Sun, Ying (55737745300); Madakyaru, Muddu (35079030600)","26433417000; 55737745300; 35079030600","Kullback-Leibler distance-based enhanced detection of incipient anomalies","2016","Journal of Loss Prevention in the Process Industries","44","","","73","87","14","37","10.1016/j.jlp.2016.08.020","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84985906099&doi=10.1016%2fj.jlp.2016.08.020&partnerID=40&md5=61ef9529237d0cb73312a2a859c838ec","King Abdullah University of Science and Technology (KAUST), Computer, Electrical and Mathematical Sciences and Engineering (CEMSE) Division, Thuwal, 23955-6900, Saudi Arabia; Manipal Institute of Technology, Department of Chemical Engineering, Manipal University, Manipal, India","Harrou F., King Abdullah University of Science and Technology (KAUST), Computer, Electrical and Mathematical Sciences and Engineering (CEMSE) Division, Thuwal, 23955-6900, Saudi Arabia; Sun Y., King Abdullah University of Science and Technology (KAUST), Computer, Electrical and Mathematical Sciences and Engineering (CEMSE) Division, Thuwal, 23955-6900, Saudi Arabia; Madakyaru M., Manipal Institute of Technology, Department of Chemical Engineering, Manipal University, Manipal, India","Accurate and effective anomaly detection and diagnosis of modern engineering systems by monitoring processes ensure reliability and safety of a product while maintaining desired quality. In this paper, an innovative method based on Kullback-Leibler divergence for detecting incipient anomalies in highly correlated multivariate data is presented. We use a partial least square (PLS) method as a modeling framework and a symmetrized Kullback-Leibler distance (KLD) as an anomaly indicator, where it is used to quantify the dissimilarity between current PLS-based residual and reference probability distributions obtained using fault-free data. Furthermore, this paper reports the development of two monitoring charts based on the KLD. The first approach is a KLD-Shewhart chart, where the Shewhart monitoring chart with a three sigma rule is used to monitor the KLD of the response variables residuals from the PLS model. The second approach integrates the KLD statistic into the exponentially weighted moving average monitoring chart. The performance of the PLS-based KLD anomaly-detection methods is illustrated and compared to that of conventional PLS-based anomaly detection methods. Using synthetic data and simulated distillation column data, we demonstrate the greater sensitivity and effectiveness of the developed method over the conventional PLS-based methods, especially when data are highly correlated and small anomalies are of interest. Results indicate that the proposed chart is a very promising KLD-based method because KLD-based charts are, in practice, designed to detect small shifts in process parameters. © 2016 Elsevier Ltd","Anomaly detection; Kullback-Leibler distance; Partial least square; Statistical process control","Control charts; Distillation columns; Probability distributions; Signal detection; Statistical process control; Anomaly detection; Anomaly detection methods; Exponentially weighted moving average; Kullback Leibler divergence; Kullback-Leibler distance; Partial least square (PLS); Reliability and safeties; Simulated distillation; Least squares approximations","Article","Final","","Scopus"
"Tang X.; Xu Y.; Gu F.; Ball A.D.; Wang G.","Tang, Xiaoli (57200168023); Xu, Yuandong (57188878950); Gu, Fengshou (35236971500); Ball, Andrew D. (7202932654); Wang, Guangbin (55738638300)","57200168023; 57188878950; 35236971500; 7202932654; 55738638300","Fault detection of rolling element bearings using the frequency shift and envelope based compressive sensing","2017","ICAC 2017 - 2017 23rd IEEE International Conference on Automation and Computing: Addressing Global Challenges through Automation and Computing","","","8082063","","","","2","10.23919/IConAC.2017.8082063","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040015109&doi=10.23919%2fIConAC.2017.8082063&partnerID=40&md5=6742e3d852d01f073f6b2fff475c7bc2","Centre for Efficiency and Performance Engineering, University of Huddersfield, Huddersfield, United Kingdom; Hunan Provincial Key Laboratory of Health Maintenance for Mechanical Equipment, Hunan University of Science and Technology, Xiangtan, China","Tang X., Centre for Efficiency and Performance Engineering, University of Huddersfield, Huddersfield, United Kingdom; Xu Y., Centre for Efficiency and Performance Engineering, University of Huddersfield, Huddersfield, United Kingdom; Gu F., Centre for Efficiency and Performance Engineering, University of Huddersfield, Huddersfield, United Kingdom; Ball A.D., Centre for Efficiency and Performance Engineering, University of Huddersfield, Huddersfield, United Kingdom; Wang G., Hunan Provincial Key Laboratory of Health Maintenance for Mechanical Equipment, Hunan University of Science and Technology, Xiangtan, China","Rolling element bearings are the essential components of rotating machines, faults of which can cause serious failures or even major breakdowns of a machine. Fault diagnosis deliveries significant benefits to machines with rolling element bearings by finding the faults at early period and taking corrective actions to enhance safe and high performance operations. However, multiple sensor usages and high rate data acquisition involved in a monitoring system have considerable drawbacks of high system cost involved in purchasing hardware for data transfer, storage and processing. To reduce these shortages, this paper investigates compressive sensing (CS) techniques for the fault detection of rolling element bearings. Based on the frequency shift and envelope analysis, a CS scheme is developed for monitoring the bearing. The number of data transmitted and stored can be reduced by several thousands of times. The simulation and the experimental results demonstrate that the compressed vibration signals of rolling element bearings are effective to detect bearing faults at the total compressing ratio up to several thousand with the corresponding maximum compression ratio (CR) of CS process at nearly 100. In addition, several performance measures are applied to evaluate the reconstructed signals and show approximately the information about the noise level of the system. © 2017 Chinese Automation and Computing Society in the UK - CACSUK.","Compressive sensing; Frequency shift; Reconstruction; Rolling element bearings","Automation; Bearings (machine parts); Compressed sensing; Data acquisition; Data transfer; Digital storage; Fault detection; Image reconstruction; Machine components; Compressive sensing; Corrective actions; Frequency shift; High rate data acquisition; High-performance operation; Monitoring system; Performance measure; Rolling Element Bearing; Roller bearings","Conference paper","Final","All Open Access; Green Open Access","Scopus"
